ID,label,count
http://www.wikidata.org/entity/Q157443,comedy film,99
http://www.wikidata.org/entity/Q3745430,satirical film,2
http://www.wikidata.org/entity/Q7444356,gangster film,5
http://www.wikidata.org/entity/Q652256,epic film,10
http://www.wikidata.org/entity/Q1200678,mystery film,34
http://www.wikidata.org/entity/Q2484376,thriller film,40
http://www.wikidata.org/entity/Q52162262,film based on literature,223
http://www.wikidata.org/entity/Q66914288,space adventure film,1
http://www.wikidata.org/entity/Q319221,adventure film,50
http://www.wikidata.org/entity/Q200092,horror film,19
http://www.wikidata.org/entity/Q471839,science fiction film,43
http://www.wikidata.org/entity/Q130232,drama film,640
http://www.wikidata.org/entity/Q459290,independent film,7
http://www.wikidata.org/entity/Q172980,Western film,20
http://www.wikidata.org/entity/Q959790,crime film,72
http://www.wikidata.org/entity/Q842256,musical film,103
http://www.wikidata.org/entity/Q1054574,romance film,154
http://www.wikidata.org/entity/Q188473,action film,82
http://www.wikidata.org/entity/Q846544,disaster film,15
http://www.wikidata.org/entity/Q2447078,alien invasion,2
http://www.wikidata.org/entity/Q3990883,action thriller,6
http://www.wikidata.org/entity/Q9503,suspense,1
http://www.wikidata.org/entity/Q186424,detective fiction,4
http://www.wikidata.org/entity/Q1146335,teen film,8
http://www.wikidata.org/entity/Q2975633,coming-of-age story,29
http://www.wikidata.org/entity/Q663106,buddy film,14
http://www.wikidata.org/entity/Q622370,docudrama,6
http://www.wikidata.org/entity/Q15898171,survival film,3
http://www.wikidata.org/entity/Q17013749,historical film,16
http://www.wikidata.org/entity/Q2297927,spy film,8
http://www.wikidata.org/entity/Q860626,romantic comedy,89
http://www.wikidata.org/entity/Q226730,silent film,11
http://www.wikidata.org/entity/Q369747,war film,102
http://www.wikidata.org/entity/Q645928,biographical film,138
http://www.wikidata.org/entity/Q20442589,LGBT-related film,47
http://www.wikidata.org/entity/Q21401869,flashback film,25
http://www.wikidata.org/entity/Q859369,comedy-drama,57
http://www.wikidata.org/entity/Q157394,fantasy film,50
http://www.wikidata.org/entity/Q7168625,historical period drama,9
http://www.wikidata.org/entity/Q7210294,political drama,1
http://www.wikidata.org/entity/Q191489,melodrama,8
http://www.wikidata.org/entity/Q1339864,sports film,11
http://www.wikidata.org/entity/Q542475,costume drama,6
http://www.wikidata.org/entity/Q1433443,peplum film genre,4
http://www.wikidata.org/entity/Q21010853,drama,3
http://www.wikidata.org/entity/Q590103,psychological thriller,6
http://www.wikidata.org/entity/Q1150666,world cinema,1
http://www.wikidata.org/entity/Q93204,documentary film,60
http://www.wikidata.org/entity/Q28026639,Christmas film,10
http://www.wikidata.org/entity/Q1535153,superhero film,3
http://www.wikidata.org/entity/Q2421031,neo-noir,10
http://www.wikidata.org/entity/Q496523,heist film,7
http://www.wikidata.org/entity/Q1361932,family film,5
http://www.wikidata.org/entity/Q2143665,children's film,11
http://www.wikidata.org/entity/Q185867,film noir,22
http://www.wikidata.org/entity/Q1935609,propaganda film,6
http://www.wikidata.org/entity/Q2678111,action comedy film,3
http://www.wikidata.org/entity/Q3072039,trial film,12
http://www.wikidata.org/entity/Q586250,prison film,10
http://www.wikidata.org/entity/Q20443008,dystopian film,6
http://www.wikidata.org/entity/Q2973181,speculative fiction film,4
http://www.wikidata.org/entity/Q1919632,melodrama,1
http://www.wikidata.org/entity/Q604725,psychological horror,4
http://www.wikidata.org/entity/Q192881,tragicomedy,2
http://www.wikidata.org/entity/Q19367312,crime thriller,10
http://www.wikidata.org/entity/Q599558,erotic film,3
http://www.wikidata.org/entity/Q622291,political thriller,11
http://www.wikidata.org/entity/Q1342372,monster film,4
http://www.wikidata.org/entity/Q22981906,treasure hunt film,6
http://www.wikidata.org/entity/Q1257444,film adaptation,2
http://www.wikidata.org/entity/Q52207399,film based on novels,1
http://www.wikidata.org/entity/Q224989,alternate history,1
http://www.wikidata.org/entity/Q222639,swashbuckler film,4
http://www.wikidata.org/entity/Q182015,thriller,1
http://www.wikidata.org/entity/Q1341051,post-apocalyptic film,3
http://www.wikidata.org/entity/Q1786567,medical drama,1
http://www.wikidata.org/entity/Q20656232,science fiction action film,2
http://www.wikidata.org/entity/Q1760864,nature documentary,6
http://www.wikidata.org/entity/Q628165,road movie,3
http://www.wikidata.org/entity/Q622548,parody film,1
http://www.wikidata.org/entity/Q4774498,anti-war film,1
http://www.wikidata.org/entity/Q5442753,female buddy film,3
http://www.wikidata.org/entity/Q5151497,comedy of remarriage,3
http://www.wikidata.org/entity/Q853630,slasher film,2
http://www.wikidata.org/entity/Q5769663,gothic horror film,2
http://www.wikidata.org/entity/Q66948581,ghost film,2
http://www.wikidata.org/entity/Q174526,cyberpunk,2
http://www.wikidata.org/entity/Q5778924,black comedy film,6
http://www.wikidata.org/entity/Q2254193,rape and revenge film,3
http://www.wikidata.org/entity/Q224700,comedy horror,3
http://www.wikidata.org/entity/Q3038946,romantic drama,2
http://www.wikidata.org/entity/Q3072043,dance film,2
http://www.wikidata.org/entity/Q1033891,martial arts film,1
http://www.wikidata.org/entity/Q4984974,buddy cop,3
http://www.wikidata.org/entity/Q5897543,hood film,1
http://www.wikidata.org/entity/Q1957385,cinematic fairy tale,1
http://www.wikidata.org/entity/Q1788980,crime-comedy film,1
http://www.wikidata.org/entity/Q5258881,werewolf film,1
http://www.wikidata.org/entity/Q248583,screwball comedy film,1
http://www.wikidata.org/entity/Q761469,comic science fiction,1
http://www.wikidata.org/entity/Q1615638,submarine film,1
http://www.wikidata.org/entity/Q486263,bossa nova,1
http://www.wikidata.org/entity/Q883179,blaxploitation,1
http://www.wikidata.org/entity/Q643873,legal drama,1
http://www.wikidata.org/entity/Q2439025,erotic thriller,1
http://www.wikidata.org/entity/Q1776156,girls with guns,1
http://www.wikidata.org/entity/Q202866,animated film,1
http://www.wikidata.org/entity/Q2973201,political cinema,1
http://www.wikidata.org/entity/Q468478,space opera,1
http://www.wikidata.org/entity/Q1135802,art film,1
http://www.wikidata.org/entity/Q12912091,fiction film,1
http://www.wikidata.org/entity/Q7256286,psycho-biddy,1
